%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1565338411105920741,1968,1565338411049684638,map,2.02341270447,-0.166357040405,0.0,0.0,0.0,0.150012158182,0.988684151991
1565338411171353919,1969,1565338411115807503,map,2.02296257019,-0.167006492615,0.0,0.0,0.0,0.151087618427,0.988520374883
1565338411237621523,1970,1565338411182505888,map,2.02425098419,-0.166541099548,0.0,0.0,0.0,0.152200440524,0.988349647597
1565338411304553762,1971,1565338411249190055,map,2.02620697021,-0.167486190796,0.0,0.0,0.0,0.153093486799,0.988211710262
1565338411378281106,1972,1565338411318095003,map,2.02593231201,-0.168140411377,0.0,0.0,0.0,0.154341232899,0.988017602995
1565338411444120116,1973,1565338411384383180,map,2.02631092072,-0.168659210205,0.0,0.0,0.0,0.155621071979,0.987816826115
1565338411511098502,1974,1565338411451028909,map,2.02816009521,-0.169122695923,0.0,0.0,0.0,0.1568556022,0.98762154698
1565338411577716054,1975,1565338411517948753,map,2.02892398834,-0.169898986816,0.0,0.0,0.0,0.157508224463,0.9875176754
1565338411645043554,1976,1565338411585395628,map,2.02920341492,-0.170070648193,0.0,0.0,0.0,0.158505287388,0.987358128477
1565338411711752720,1977,1565338411651991513,map,2.03002166748,-0.171060562134,0.0,0.0,0.0,0.159785607213,0.987151740984
1565338411778542929,1978,1565338411718530524,map,2.03119373322,-0.171088218689,0.0,0.0,0.0,0.160678259174,0.987006837377
1565338411844467356,1979,1565338411784522294,map,2.0314617157,-0.171831130981,0.0,0.0,0.0,0.161712861404,0.986837854187
1565338411911860012,1980,1565338411850970159,map,2.03200817108,-0.171885490417,0.0,0.0,0.0,0.162790231753,0.986660701784
1565338411977996210,1981,1565338411917927503,map,2.03320121765,-0.172862052917,0.0,0.0,0.0,0.163707296391,0.986508956426
1565338412044263033,1982,1565338411984488024,map,2.03312397003,-0.172910690308,0.0,0.0,0.0,0.164842052475,0.986319977358
1565338412113861366,1983,1565338412051321253,map,2.03433799744,-0.173499107361,0.0,0.0,0.0,0.166048475351,0.986117591281
1565338412178087512,1984,1565338412117921669,map,2.03531646729,-0.173270225525,0.0,0.0,0.0,0.16705293526,0.985947928048
1565338412244805897,1985,1565338412184647451,map,2.0355386734,-0.173935890198,0.0,0.0,0.0,0.167854683225,0.985811749433
1565338412311930481,1986,1565338412251214378,map,2.03692340851,-0.174722671509,0.0,0.0,0.0,0.168955265882,0.985623720357
1565338412377744335,1987,1565338412317820367,map,2.03726959229,-0.17483997345,0.0,0.0,0.0,0.169609590431,0.985511332677
1565338412443902928,1988,1565338412384330159,map,2.03769493103,-0.175191879272,0.0,0.0,0.0,0.170940272672,0.985281392892
1565338412510938345,1989,1565338412451082555,map,2.0379152298,-0.175371170044,0.0,0.0,0.0,0.171965588763,0.985102957199
1565338412578150741,1990,1565338412518345002,map,2.03926944733,-0.176007270813,0.0,0.0,0.0,0.172801227063,0.984956717793
1565338412644176158,1991,1565338412584469846,map,2.0389509201,-0.176527023315,0.0,0.0,0.0,0.174233518893,0.984704362179
1565338412712059022,1992,1565338412651495159,map,2.04113292694,-0.176580429077,0.0,0.0,0.0,0.174758502575,0.984611327265
1565338412777822928,1993,1565338412718379117,map,2.04143619537,-0.176918029785,0.0,0.0,0.0,0.17584703229,0.984417503519
1565338412844047043,1994,1565338412784525471,map,2.04119968414,-0.177097320557,0.0,0.0,0.0,0.177178842177,0.984178671728
1565338412910664699,1995,1565338412851049638,map,2.04292106628,-0.177569389343,0.0,0.0,0.0,0.177771131096,0.984071859647
1565338412977455949,1996,1565338412918078440,map,2.04341983795,-0.178094863892,0.0,0.0,0.0,0.178584809223,0.983924522469
1565338413046499647,1997,1565338412985793961,map,2.04352855682,-0.178122520447,0.0,0.0,0.0,0.179576459497,0.98374401914
1565338413112322616,1998,1565338413052277086,map,2.04426383972,-0.178533554077,0.0,0.0,0.0,0.180822617127,0.983515724905
1565338413180758449,1999,1565338413119041044,map,2.04504489899,-0.179033279419,0.0,0.0,0.0,0.181556149131,0.983380579792
1565338413245338189,2000,1565338413185101096,map,2.0451335907,-0.1789894104,0.0,0.0,0.0,0.182673801542,0.983173576857
1565338413312152407,2001,1565338413251542502,map,2.04541873932,-0.179119110107,0.0,0.0,0.0,0.183669848807,0.982987989061
1565338413379042511,2002,1565338413318851981,map,2.04672050476,-0.179903030396,0.0,0.0,0.0,0.184230106679,0.982883140456
1565338413444133241,2003,1565338413384429533,map,2.04796600342,-0.179763793945,0.0,0.0,0.0,0.184263602203,0.982876861516
1565338413510927876,2004,1565338413451164325,map,2.0490732193,-0.180141448975,0.0,0.0,0.0,0.184379157921,0.982855190821
1565338413578200688,2005,1565338413518674273,map,2.05003070831,-0.180233001709,0.0,0.0,0.0,0.183821464576,0.982959647779
1565338413644229334,2006,1565338413584482033,map,2.05007648468,-0.179929733276,0.0,0.0,0.0,0.183038408822,0.983105762823
1565338413711240168,2007,1565338413651576044,map,2.05190372467,-0.180941581726,0.0,0.0,0.0,0.181110326679,0.983462785046
1565338413778234803,2008,1565338413718517398,map,2.05323600769,-0.180808067322,0.0,0.0,0.0,0.178642194491,0.983914105167
1565338413844835324,2009,1565338413784734325,map,2.05477619171,-0.18071937561,0.0,0.0,0.0,0.175339653503,0.984508001953
1565338413911729751,2010,1565338413851038960,map,2.05584049225,-0.180752754211,0.0,0.0,0.0,0.171012712393,0.985268822302
1565338413979296834,2011,1565338413917679012,map,2.05702495575,-0.179986000061,0.0,0.0,0.0,0.165856403044,0.986149914348
1565338414045480688,2012,1565338413984589169,map,2.05721092224,-0.17998790741,0.0,0.0,0.0,0.160117728642,0.987097924714
1565338414111484230,2013,1565338414051284012,map,2.05884075165,-0.180160522461,0.0,0.0,0.0,0.152520624357,0.988300287942
1565338414178013240,2014,1565338414117763960,map,2.05974578857,-0.179689407349,0.0,0.0,0.0,0.143972740406,0.989581654044
1565338414244068605,2015,1565338414184315002,map,2.06128025055,-0.17934513092,0.0,0.0,0.0,0.133305081198,0.9910750503
1565338414312449855,2016,1565338414251528804,map,2.06247425079,-0.178929328918,0.0,0.0,0.0,0.121598252209,0.992579399877
1565338414377645792,2017,1565338414318048127,map,2.06381702423,-0.179456710815,0.0,0.0,0.0,0.107982290976,0.994152817647
1565338414444705271,2018,1565338414384905366,map,2.06507873535,-0.178588867188,0.0,0.0,0.0,0.0931571608279,0.995651416604
1565338414511933032,2019,1565338414451569481,map,2.06618213654,-0.178597450256,0.0,0.0,0.0,0.0768299326694,0.997044212383
1565338414578577928,2020,1565338414518667918,map,2.06763458252,-0.178702354431,0.0,0.0,0.0,0.0595021130729,0.998228179596
1565338414643967303,2021,1565338414584312345,map,2.06870555878,-0.178512573242,0.0,0.0,0.0,0.0410796223944,0.999155876039
1565338414711730219,2022,1565338414651614168,map,2.06958770752,-0.178060531616,0.0,0.0,0.0,0.0213964662213,0.999771069412
1565338414778674855,2023,1565338414718654793,map,2.07020568848,-0.179224014282,0.0,0.0,0.0,0.0010150622696,0.999999484824
1565338414845294698,2024,1565338414785049585,map,2.07069969177,-0.179574966431,0.0,0.0,0.0,-0.0206905459669,0.99978592774
1565338414911194073,2025,1565338414851181981,map,2.07130718231,-0.179792404175,0.0,0.0,0.0,-0.0418344543014,0.999124556016
1565338414977963657,2026,1565338414917724949,map,2.07179355621,-0.180418968201,0.0,0.0,0.0,-0.0618355451754,0.998086351651
1565338415045868813,2027,1565338414984716043,map,2.07317066193,-0.181542396545,0.0,0.0,0.0,-0.0808587002902,0.996725574362
1565338415111380480,2028,1565338415051372449,map,2.07413005829,-0.18274974823,0.0,0.0,0.0,-0.0982802207335,0.995158780403
1565338415178227927,2029,1565338415117872970,map,2.07532596588,-0.183355331421,0.0,0.0,0.0,-0.115732296188,0.993280441577
1565338415244401677,2030,1565338415184550887,map,2.07600498199,-0.18483543396,0.0,0.0,0.0,-0.131682354073,0.991291963866
1565338415311641052,2031,1565338415251571824,map,2.07652759552,-0.186294555664,0.0,0.0,0.0,-0.14697818862,0.989139733339
1565338415379493917,2032,1565338415317768335,map,2.07703971863,-0.186957359314,0.0,0.0,0.0,-0.161117601821,0.986935214887
1565338415444262927,2033,1565338415384613022,map,2.07833194733,-0.187269210815,0.0,0.0,0.0,-0.174773321126,0.984608697007
1565338415511081365,2034,1565338415451326251,map,2.08020305634,-0.188187599182,0.0,0.0,0.0,-0.187416899771,0.982280461823
1565338415578059750,2035,1565338415517793074,map,2.08067131042,-0.188807487488,0.0,0.0,0.0,-0.199110197681,0.979977106457
1565338415644102042,2036,1565338415584653126,map,2.0812921524,-0.189264297485,0.0,0.0,0.0,-0.211369018311,0.977406332135
1565338415711879802,2037,1565338415651807241,map,2.08257007599,-0.19019317627,0.0,0.0,0.0,-0.222434002102,0.974947749733
1565338415778734906,2038,1565338415718186772,map,2.08341217041,-0.191064834595,0.0,0.0,0.0,-0.233397612753,0.972381383183
1565338415846019854,2039,1565338415785378126,map,2.08480930328,-0.191283226013,0.0,0.0,0.0,-0.243311012706,0.969948323931
1565338415911567198,2040,1565338415852033387,map,2.08620262146,-0.19224357605,0.0,0.0,0.0,-0.253346212265,0.967375675077
1565338415978106000,2041,1565338415918553699,map,2.08728027344,-0.192728042603,0.0,0.0,0.0,-0.262254180249,0.964998831576
1565338416045692667,2042,1565338415984797189,map,2.0886592865,-0.193406105042,0.0,0.0,0.0,-0.270324160797,0.962769363913
1565338416110947875,2043,1565338416051286668,map,2.0883026123,-0.194925308228,0.0,0.0,0.0,-0.278802698021,0.960348403225
1565338416177697302,2044,1565338416117774637,map,2.08945465088,-0.195254325867,0.0,0.0,0.0,-0.28723854917,0.957859079338
1565338416244030010,2045,1565338416184547762,map,2.08977031708,-0.19607257843,0.0,0.0,0.0,-0.294089349516,0.955777931583
1565338416311636625,2046,1565338416251262084,map,2.08983612061,-0.196397781372,0.0,0.0,0.0,-0.301790764204,0.95337418396
1565338416380428344,2047,1565338416318662657,map,2.09117698669,-0.196362495422,0.0,0.0,0.0,-0.308680742156,0.951165705554
1565338416444515114,2048,1565338416384593439,map,2.0911026001,-0.197354316711,0.0,0.0,0.0,-0.314813764397,0.949153461642
1565338416512228187,2049,1565338416451542188,map,2.0922498703,-0.197400093079,0.0,0.0,0.0,-0.320879250596,0.947120111991
1565338416579686937,2050,1565338416517771043,map,2.09356689453,-0.197835922241,0.0,0.0,0.0,-0.327339172965,0.944906908559
1565338416644726937,2051,1565338416584604845,map,2.09550189972,-0.198763847351,0.0,0.0,0.0,-0.333000254956,0.94292673639
1565338416712464021,2052,1565338416651864532,map,2.09610557556,-0.199708938599,0.0,0.0,0.0,-0.338503091344,0.940965279461
1565338416779323708,2053,1565338416718287345,map,2.09780406952,-0.200704574585,0.0,0.0,0.0,-0.343881543016,0.939013037382
1565338416845108968,2054,1565338416784691251,map,2.09911155701,-0.201264381409,0.0,0.0,0.0,-0.348948014741,0.937142082615
1565338416913500739,2055,1565338416851255261,map,2.09957408905,-0.20175743103,0.0,0.0,0.0,-0.353697691965,0.93535979318
1565338416977811312,2056,1565338416917876303,map,2.1012802124,-0.202466011047,0.0,0.0,0.0,-0.359924844558,0.932981300064
1565338417046753187,2057,1565338416984505105,map,2.10249137878,-0.203135490417,0.0,0.0,0.0,-0.366406883358,0.930454725297
1565338417112271625,2058,1565338417051298751,map,2.10470867157,-0.203598976135,0.0,0.0,0.0,-0.373928620136,0.927457485302
1565338417177866104,2059,1565338417117730990,map,2.10633659363,-0.203620910645,0.0,0.0,0.0,-0.382372013953,0.924008464759
1565338417245423656,2060,1565338417185217292,map,2.10753440857,-0.203584671021,0.0,0.0,0.0,-0.391305632332,0.920260779402
1565338417312559437,2061,1565338417251788542,map,2.10956859589,-0.203680038452,0.0,0.0,0.0,-0.401440578265,0.915885070368
