%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565343622267516566,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622317032451,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622367347504,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622417667035,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622467911149,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622518076149,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622568416670,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622618433962,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622668927608,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622718719378,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622769680108,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343622875550160,-0.0,-0.0,0.0,0.0,0.0,0.158160567284
1565343622979381149,-0.0,-0.0,0.0,0.0,0.0,0.261264950037
1565343623103440420,-0.0,-0.0,0.0,0.0,0.0,0.304665476084
1565343623215493649,-0.0,-0.0,0.0,0.0,0.0,0.369782328606
1565343623319317659,-0.0,-0.0,0.0,0.0,0.0,0.418611943722
1565343623426835107,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623477721982,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623607578284,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623657256722,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623707387295,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623757477920,-0.0,-0.0,0.0,0.0,0.0,0.445741295815
1565343623912692868,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343623933303545,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343623983664795,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624033519222,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624083561357,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624134044222,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624184327659,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624234562815,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624298179274,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624335608544,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624385011930,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624435413336,-0.0,-0.0,0.0,0.0,0.0,0.5
1565343624551031461,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624602228857,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624652766617,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624703115888,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624751769638,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624802542294,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624852591461,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624902537294,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343624952952971,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625004392138,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625053033909,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625103242502,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625153104794,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625203644638,-0.0,-0.0,0.0,0.0,0.0,0.0
1565343625253527138,-0.0,-0.0,0.0,0.0,0.0,0.0
