%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565343622264557764,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622314222764,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622364118337,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622414163545,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622464035785,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622514165628,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622564912139,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622614852399,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622665285264,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622715569222,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622765154899,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622815068233,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622865082764,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343622914933493,1565.81605673,1550.0,1550.0,1565.81605673,0.0,0.0
1565343622965250212,1565.81605673,1550.0,1550.0,1565.81605673,0.0,0.0
1565343623015083910,1576.126495,1550.0,1550.0,1576.126495,0.0,0.0
1565343623065060316,1576.126495,1550.0,1550.0,1576.126495,0.0,0.0
1565343623115077920,1580.46654761,1550.0,1550.0,1580.46654761,0.0,0.0
1565343623165108649,1580.46654761,1550.0,1550.0,1580.46654761,0.0,0.0
1565343623215541670,1580.46654761,1550.0,1550.0,1580.46654761,0.0,0.0
1565343623265085524,1586.97823286,1550.0,1550.0,1586.97823286,0.0,0.0
1565343623315210159,1586.97823286,1550.0,1550.0,1586.97823286,0.0,0.0
1565343623365164586,1591.86119437,1550.0,1550.0,1591.86119437,0.0,0.0
1565343623415105107,1591.86119437,1550.0,1550.0,1591.86119437,0.0,0.0
1565343623465078701,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623515038961,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623564914691,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623614846513,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623665012138,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623714805941,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623764901618,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623815394274,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623865470524,1594.57412958,1550.0,1550.0,1594.57412958,0.0,0.0
1565343623914989847,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343623965220524,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624015288961,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624065381982,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624115115628,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624164740211,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624215863597,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624265817190,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624315691722,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624365153076,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624415910055,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624465143596,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624515347919,1600.0,1550.0,1550.0,1600.0,0.0,0.0
1565343624565198596,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624614992607,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624664913076,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624714975211,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624764923701,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624815140523,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624864917190,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624915069638,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343624965502659,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625014667919,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625064948180,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625115269898,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625165062346,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625214971669,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625265206409,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625314974898,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625364918284,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625415137138,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625465081200,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625515475731,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625565156981,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625615221409,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625665226721,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625715179742,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625765237919,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625815216252,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625865154638,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343625914895263,1550.0,1563.10472786,1563.10472786,1550.0,0.0,0.0
1565343625964729013,1550.0,1563.10472786,1563.10472786,1550.0,0.0,0.0
1565343626015303492,1550.0,1563.10472786,1563.10472786,1550.0,0.0,0.0
1565343626065192710,1550.0,1566.36057198,1566.36057198,1550.0,0.0,0.0
1565343626115117085,1550.0,1566.36057198,1566.36057198,1550.0,0.0,0.0
1565343626165656096,1550.0,1589.69277442,1589.69277442,1550.0,0.0,0.0
1565343626215938856,1550.0,1589.69277442,1589.69277442,1550.0,0.0,0.0
1565343626264930158,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343626314986356,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343626364913387,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343626414942762,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626465917502,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626514911252,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626564934325,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626615034116,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626665149273,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626714732346,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626765078804,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343626815014898,1550.0,1584.266904,1584.266904,1550.0,0.0,0.0
1565343626864979950,1550.0,1584.266904,1584.266904,1550.0,0.0,0.0
1565343626915032502,1550.0,1584.266904,1584.266904,1550.0,0.0,0.0
1565343626964967866,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627014992450,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627065210418,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627115016095,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627166795575,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627215628179,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627266289637,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627315603960,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627366065835,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627414906720,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343627465754897,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627515222293,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627565040731,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627614958283,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627665409949,1550.0,1562.01891154,1562.01891154,1550.0,0.0,0.0
1565343627715083439,1550.0,1562.01891154,1562.01891154,1550.0,0.0,0.0
1565343627764909689,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627815105001,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627867661251,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627914893178,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343627965008491,1550.0,1562.56182045,1562.56182045,1550.0,0.0,0.0
1565343628014890210,1550.0,1582.63818026,1582.63818026,1550.0,0.0,0.0
1565343628064784897,1550.0,1582.63818026,1582.63818026,1550.0,0.0,0.0
1565343628115071928,1550.0,1582.63818026,1582.63818026,1550.0,0.0,0.0
1565343628165260001,1550.0,1599.46030378,1599.46030378,1550.0,0.0,0.0
1565343628215191824,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628265473335,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628315304012,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628364880418,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628415292189,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628464982085,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628514924689,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628564975210,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628614916251,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628664937501,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628714956303,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628765056668,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628815782136,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628865691407,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628915273074,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343628965347084,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629015001616,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629064962397,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629115023022,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629165585730,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629216533334,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629265716720,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629315746199,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629365593126,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629414892188,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629465024115,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629514643178,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629564676199,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629615099011,1550.0,1600.0,1600.0,1550.0,0.0,0.0
1565343629665242813,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629715266303,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629765092449,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629815043699,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629864927813,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629915990678,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343629965815469,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343630015742032,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343630065302240,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343630115603907,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565343630165597032,1550.0,1550.0,1550.0,1550.0,0.0,0.0
