%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565338972582619434,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972726950892,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972731212506,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972733428079,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972783949746,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972922248288,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972925882090,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972934224277,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338972984301985,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973035022767,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973085220631,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973134882819,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973185407819,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973236561360,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973285951048,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973335939642,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973386188183,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973437047871,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973488041100,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973537058287,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973587197194,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973638684537,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973687294954,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973738382089,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973789558339,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973844848704,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973888349485,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973938382818,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338973989693860,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974038736829,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974089109277,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974139096725,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974188703652,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974239586568,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974289689381,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338974428814329,0.0993184745312,-0.0,0.0,0.0,0.0,0.0
1565338974532879693,0.294669061899,-0.0,0.0,0.0,0.0,0.0
1565338974656584068,0.403186440468,-0.0,0.0,0.0,0.0,0.0
