%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565341597514249005,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597564162495,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597614099838,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597664199005,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597714104005,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597764150828,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597814398276,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597864789370,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597914932338,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341597965081401,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598014697182,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598065933067,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598115106713,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598164563484,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598215168797,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598265877546,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598315348953,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598365325984,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598415101453,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598465198119,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598515133588,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598565152078,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598615288067,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598664603848,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341598715110359,1550.0,1550.0,1555.5917941,1555.5917941,0.0,0.0
1565341598765109578,1550.0,1550.0,1555.5917941,1555.5917941,0.0,0.0
1565341598815147650,1550.0,1550.0,1556.67439774,1556.67439774,0.0,0.0
1565341598865299265,1550.0,1550.0,1556.67439774,1556.67439774,0.0,0.0
1565341598915146557,1550.0,1550.0,1564.27190006,1564.27190006,0.0,0.0
1565341598965098588,1550.0,1550.0,1564.27190006,1564.27190006,0.0,0.0
1565341599014612077,1550.0,1550.0,1566.4435342,1566.4435342,0.0,0.0
1565341599065232077,1550.0,1550.0,1566.4435342,1566.4435342,0.0,0.0
1565341599115165723,1550.0,1550.0,1566.4435342,1566.4435342,0.0,0.0
1565341599165147494,1550.0,1550.0,1566.4435342,1566.4435342,0.0,0.0
1565341599215279682,1550.0,1550.0,1565.35771638,1565.35771638,0.0,0.0
1565341599264626973,1550.0,1550.0,1565.35771638,1565.35771638,0.0,0.0
1565341599315104734,1550.0,1550.0,1565.35771638,1565.35771638,0.0,0.0
1565341599364958692,1550.0,1550.0,1601.17038488,1601.17038488,0.0,0.0
1565341599414917129,1550.0,1550.0,1601.17038488,1601.17038488,0.0,0.0
1565341599465065202,1550.0,1550.0,1613.10794353,1613.10794353,0.0,0.0
1565341599514952129,1550.0,1550.0,1613.10794353,1613.10794353,0.0,0.0
1565341599565507286,1550.0,1550.0,1613.10794353,1613.10794353,0.0,0.0
1565341599615000046,1550.0,1550.0,1617.44799614,1617.44799614,0.0,0.0
1565341599664948588,1550.0,1550.0,1617.44799614,1617.44799614,0.0,0.0
1565341599714861504,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565341599765070202,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565341599815002963,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565341599865064994,1550.0,1550.0,1641.32310748,1641.32310748,0.0,0.0
1565341599914922129,1550.0,1550.0,1641.32310748,1641.32310748,0.0,0.0
1565341599964904733,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600014925150,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600065082754,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600114994108,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600165068796,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600214900671,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600264959212,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600315049004,1550.0,1550.0,1643.49473715,1643.49473715,0.0,0.0
1565341600365016504,1550.0,1550.0,1642.40892529,1642.40892529,0.0,0.0
1565341600415081660,1550.0,1550.0,1642.40892529,1642.40892529,0.0,0.0
1565341600465015358,1550.0,1550.0,1642.40892529,1642.40892529,0.0,0.0
1565341600514938431,1550.0,1550.0,1640.23728967,1640.23728967,0.0,0.0
1565341600565078900,1550.0,1550.0,1640.23728967,1640.23728967,0.0,0.0
1565341600614913327,1550.0,1550.0,1640.23728967,1640.23728967,0.0,0.0
1565341600665066400,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600714595202,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600764960983,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600815049785,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600865101243,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600914862545,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341600964984368,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601014896816,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601064926191,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601114871712,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601164998014,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601214986816,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601264943952,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601314884264,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601364876608,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601415383795,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601465051712,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601514891399,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601564838951,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601614869420,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601664950358,1550.0,1550.0,1634.81141925,1634.81141925,0.0,0.0
1565341601714848066,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341601764886399,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341601814880358,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341601864900462,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341601916727024,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341601965089472,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602014915930,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602065056712,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602114905983,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602164849316,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602215093274,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602265461503,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602314959576,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602364968170,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602415060305,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602464905149,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602515261607,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602564927180,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602615034889,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602664992961,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602715170253,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602765294524,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602814915566,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602865501347,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602914897441,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341602964962545,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341603015092180,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341603065031347,1550.0,1550.0,1562.1034801,1562.1034801,0.0,0.0
1565341603114981972,1550.0,1550.0,1562.1034801,1562.1034801,0.0,0.0
1565341603164925878,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565341603214966503,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565341603265191451,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603315304420,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603364982492,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603414910253,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603464802597,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603515087753,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603564973742,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603614939159,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603665187492,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603714981347,1550.0,1550.0,1590.31864405,1590.31864405,0.0,0.0
1565341603764988430,1550.0,1550.0,1616.36217833,1616.36217833,0.0,0.0
1565341603815020461,1550.0,1550.0,1616.36217833,1616.36217833,0.0,0.0
1565341603865252596,1550.0,1550.0,1621.78804874,1621.78804874,0.0,0.0
1565341603914962909,1550.0,1550.0,1621.78804874,1621.78804874,0.0,0.0
1565341603964612701,1550.0,1550.0,1621.78804874,1621.78804874,0.0,0.0
1565341604015150721,1550.0,1550.0,1632.63978958,1632.63978958,0.0,0.0
1565341604065317023,1550.0,1550.0,1632.63978958,1632.63978958,0.0,0.0
1565341604115040617,1550.0,1550.0,1632.63978958,1632.63978958,0.0,0.0
1565341604165082440,1550.0,1550.0,1640.23728967,1640.23728967,0.0,0.0
1565341604215039159,1550.0,1550.0,1640.23728967,1640.23728967,0.0,0.0
1565341604265044628,1550.0,1550.0,1644.57734227,1644.57734227,0.0,0.0
1565341604314967753,1550.0,1550.0,1644.57734227,1644.57734227,0.0,0.0
1565341604364978586,1550.0,1550.0,1644.57734227,1644.57734227,0.0,0.0
1565341604414980513,1550.0,1550.0,1644.57734227,1644.57734227,0.0,0.0
1565341604465367805,1550.0,1550.0,1645.66316009,1645.66316009,0.0,0.0
1565341604514976242,1550.0,1550.0,1645.66316009,1645.66316009,0.0,0.0
1565341604565004836,1550.0,1550.0,1645.66316009,1645.66316009,0.0,0.0
1565341604615061450,1550.0,1550.0,1646.7489779,1646.7489779,0.0,0.0
1565341604664958846,1550.0,1550.0,1646.7489779,1646.7489779,0.0,0.0
1565341604715159992,1550.0,1550.0,1646.7489779,1646.7489779,0.0,0.0
1565341604764994159,1550.0,1550.0,1646.7489779,1646.7489779,0.0,0.0
1565341604814948950,1550.0,1550.0,1650.0,1650.0,0.0,0.0
1565341604864949106,1550.0,1550.0,1650.0,1650.0,0.0,0.0
1565341604914906086,1550.0,1550.0,1650.0,1650.0,0.0,0.0
1565341604964927804,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605014972544,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605065313377,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605115036346,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605165004106,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605215012231,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605265310408,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605314987908,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605365029054,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605415096346,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605465667440,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605514918377,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605565225200,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605615243794,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605664930460,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605715379835,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605765087960,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605814951085,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605865766502,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605915218846,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341605965401814,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606015044887,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606065762231,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606115198429,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606165030825,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606215541241,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606265350877,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606315188689,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606365062491,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606415212231,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606465285564,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606515560981,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606565075720,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606614962439,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606665310408,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606715034731,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565341606765234054,1550.0,1550.0,1550.0,1550.0,0.0,0.0
