%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565342400264439063,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400314080834,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400364093907,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400414353595,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400464208438,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400514228126,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400564974272,1583.72239172,1550.0,1550.0,1583.72239172,0.0,0.0
1565342400614995990,1583.72239172,1550.0,1550.0,1583.72239172,0.0,0.0
1565342400666954740,1592.94701219,1550.0,1550.0,1592.94701219,0.0,0.0
1565342400714961824,1592.94701219,1550.0,1550.0,1592.94701219,0.0,0.0
1565342400764964740,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400815043699,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400865288230,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400915009219,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342400965072240,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401015054219,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401065830261,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401114822709,1592.94701219,1550.0,1550.0,1592.94701219,0.0,0.0
1565342401165216355,1592.94701219,1550.0,1550.0,1592.94701219,0.0,0.0
1565342401215024324,1559.30437073,1550.0,1550.0,1559.30437073,0.0,0.0
1565342401265121928,1559.30437073,1550.0,1550.0,1559.30437073,0.0,0.0
1565342401315597448,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401365016876,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401414925313,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401465513959,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401515163959,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401565084948,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401614937813,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401665079428,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401715125209,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401765046563,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401814910730,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401865712709,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565342401914894167,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342401964946459,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342402014886198,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342402064906094,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342402114906250,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342402165075834,1550.0,1550.0,1578.38108838,1578.38108838,0.0,0.0
1565342402215011459,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565342402265001146,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565342402315121563,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565342402364955313,1550.0,1550.0,1577.29527354,1577.29527354,0.0,0.0
1565342402415144323,1550.0,1550.0,1609.85049009,1609.85049009,0.0,0.0
1565342402465329063,1550.0,1550.0,1609.85049009,1609.85049009,0.0,0.0
1565342402514627344,1550.0,1550.0,1609.85049009,1609.85049009,0.0,0.0
1565342402564987031,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402615112917,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402665858125,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402715134583,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402765218021,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402814885781,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342402865195312,1550.0,1550.0,1627.21391916,1627.21391916,0.0,0.0
1565342402914572083,1550.0,1550.0,1627.21391916,1627.21391916,0.0,0.0
1565342402964873229,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403015070677,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403064809792,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403114854896,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403165354896,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403215184739,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403265476094,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403315651875,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403364838177,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403414852500,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403465588385,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342403516113698,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403565244218,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403614768385,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403664987291,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403714838958,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403764875000,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403815198385,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403865424010,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403915145312,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342403964825052,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404014887031,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404065182708,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404115290208,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404165614114,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342404215097083,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342404266695729,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342404315228854,1570.70062459,1550.0,1627.21391916,1647.91454375,0.0,0.0
1565342404364917864,1570.70062459,1550.0,1627.21391916,1647.91454375,0.0,0.0
1565342404414878541,1573.95486087,1550.0,1626.13131404,1650.08617491,0.0,0.0
1565342404466579166,1573.95486087,1550.0,1626.13131404,1650.08617491,0.0,0.0
1565342404515201301,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342404565082864,1550.0,1550.0,1626.13131404,1626.13131404,0.0,0.0
1565342404615148958,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342404667222499,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342404715100260,1550.0,1550.0,1628.29973102,1628.29973102,0.0,0.0
1565342404765011666,1550.0,1550.0,1629.38554883,1629.38554883,0.0,0.0
1565342404815016510,1550.0,1550.0,1629.38554883,1629.38554883,0.0,0.0
1565342404865631041,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404915534635,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342404965086041,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342405015200885,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342405065194218,1550.0,1550.0,1630.47136664,1630.47136664,0.0,0.0
1565342405116417603,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342405165035989,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342405215234426,1550.0,1550.0,1631.55718446,1631.55718446,0.0,0.0
1565342405266414114,1584.80820656,1550.0,1631.55718446,1666.36539102,0.0,0.0
1565342405315530572,1584.80820656,1550.0,1631.55718446,1666.36539102,0.0,0.0
1565342405365045364,1550.0,1550.0,1632.63978958,1632.63978958,0.0,0.0
1565342405414965884,1550.0,1550.0,1632.63978958,1632.63978958,0.0,0.0
1565342405465547707,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405515063332,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405565018072,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405615144374,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405665402811,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405714606405,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405765267863,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405815430416,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405866820832,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405914930311,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342405964939999,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406015292290,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406067115624,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406115184842,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406165218488,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406214851249,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406266062863,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406314938540,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406365059217,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406415058228,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406465286457,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406515009269,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406564834374,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406615994165,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406665878228,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406715064061,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406765164530,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406815236405,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406865356873,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406914991717,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342406965081821,1591.86119437,1550.0,1635.89723706,1677.75843143,0.0,0.0
1565342407015267811,1591.86119437,1550.0,1635.89723706,1677.75843143,0.0,0.0
1565342407065224894,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407115183123,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407165153436,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407214992915,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407265538592,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407315205207,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407366498644,1600.0,1550.0,1635.89723706,1685.89723706,0.0,0.0
1565342407415936821,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
1565342407467683540,1550.0,1550.0,1635.89723706,1635.89723706,0.0,0.0
