%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565339540014422811,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540064320780,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540114279790,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540164315571,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540214282342,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540264327029,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540314275988,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339540365182915,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540415229113,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540465314581,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540515647602,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540565385363,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540615296769,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540665276717,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540715307602,1550.0,1574.03461188,1550.0,1574.03461188,0.0,0.0
1565339540765224373,1550.0,1580.54629862,1550.0,1580.54629862,0.0,0.0
1565339540815253956,1550.0,1580.54629862,1550.0,1580.54629862,0.0,0.0
1565339540865352446,1550.0,1581.63211346,1550.0,1581.63211346,0.0,0.0
1565339540916438279,1550.0,1581.63211346,1550.0,1581.63211346,0.0,0.0
1565339540965296769,1550.0,1582.71793127,1550.0,1582.71793127,0.0,0.0
1565339541015332758,1550.0,1582.71793127,1550.0,1582.71793127,0.0,0.0
1565339541064902133,1550.0,1647.83157706,1550.0,1647.83157706,0.0,0.0
1565339541116310571,1550.0,1647.83157706,1550.0,1647.83157706,0.0,0.0
1565339541166105987,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541216193696,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541265712654,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541315752498,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541365443227,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541415808800,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541465361560,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541516056560,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541564993279,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541615061560,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541665360466,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541716218279,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541765193383,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541815381143,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541864990623,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541915166039,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339541965427133,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542015043279,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542065018175,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542115107810,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542164908175,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542214976820,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542264907862,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542315016247,1550.0,1650.0,1550.0,1650.0,0.0,0.0
1565339542365081768,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542415364945,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542465113331,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542515114320,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542565003799,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542615076872,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542665082393,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542715801768,1550.0,1550.0,1550.0,1550.0,0.0,0.0
1565339542764961039,1550.0,1550.0,1550.0,1550.0,0.0,0.0
