%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565342003608472548,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003659200881,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003708643434,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003758977183,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003814420256,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003887036038,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003910061663,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342003960191923,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004010328069,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004063065413,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004110967652,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004161548381,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004211116662,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004262679267,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004311630048,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004363063381,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004412545152,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004462908746,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004512342756,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004562148642,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004613084371,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004663372131,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004712787860,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004763753589,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004817550829,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004864129996,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004913782443,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342004973280621,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005014579787,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005080959527,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005115059839,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005165162443,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005217411662,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005267519839,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005315341818,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005365357027,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005415910047,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005466080360,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005515942131,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005566437756,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005617107599,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005666687079,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342005796944214,-0.0,-1.0,0.0,0.0,0.0,0.0
1565342005923101818,0.00165924313478,-1.0,0.0,0.0,0.0,0.0
1565342006027637235,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006077505672,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006128061870,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006178276401,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006227767860,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006278396558,0.0450597777963,-1.0,0.0,0.0,0.0,0.0
1565342006403284735,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342006453782182,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342006504140880,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342006554333537,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342006685117547,-0.0,-0.0,0.0,0.0,0.0,-0.255851924419
1565342006803484839,-0.0,-0.0,0.0,0.0,0.0,-0.358940243721
1565342006858247026,-0.0,-0.0,0.0,0.0,0.0,-0.358940243721
1565342006983177286,-0.0,-0.0,0.0,0.0,0.0,-0.353527218103
1565342007124406505,-0.0,-0.0,0.0,0.0,0.0,-0.36436933279
1565342007174129422,-0.0,-0.0,0.0,0.0,0.0,-0.36436933279
1565342007311551765,-0.0,-0.0,0.0,0.0,0.0,-0.36436933279
1565342007417001453,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007468631192,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007516681713,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007566346713,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007637684265,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007666649786,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007717311088,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007767224734,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007828864942,-0.0,-0.0,0.0,0.0,0.0,0.0
1565342007966671974,-0.0,-0.782965183258,0.0,0.0,0.0,0.0
1565342008051693796,-0.0,-0.782965183258,0.0,0.0,0.0,0.0
