%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565340109148150000,0.218694031,0,0,0,0,0
1565340109252460000,0.348927766,0,0,0,0,0
1565340109356720000,0.511703849,0,0,0,0,0
1565340109464730000,0.598504901,0,0,0,0,0
1565340109583450000,0.663621783,0,0,0,0,0
1565340109674990000,0.815571845,0,0,0,0,0
1565340109723390000,0.815571845,0,0,0,0,0
1565340109851760000,0.826397896,0,0,0,0,0
1565340109972230000,0.826397896,0,0,0,0,0
1565340110072780000,0.804713666,0,0,0,0,0
1565340110208690000,0.815571845,0,0,0,0,0
1565340110324530000,0.804713666,0,0,0,0,0
1565340110375890000,0.804713666,0,0,0,0,0
1565340110424750000,0.804713666,0,0,0,0,0
1565340110475140000,0.804713666,0,0,0,0,0
1565340110601140000,0.804713666,0,0,0,0,0
1565340110707130000,0.804713666,0.001659243,0,0,0,0
1565340110825140000,0.804713666,0,0,0,0,0
1565340110874880000,0.804713666,0,0,0,0,0
1565340110925020000,0.804713666,0,0,0,0,0
1565340110976460000,0.804713666,0,0,0,0,0
1565340111025230000,0.804713666,0,0,0,0,0
1565340111160920000,0.815571845,0.001659243,0,0,0,0
1565340111211000000,0.815571845,0.001659243,0,0,0,0
1565340111312550000,0.815571845,0.012485282,0,0,0,0
1565340111424600000,0.815571845,0.023343448,0,0,0,0
1565340111549100000,0.815571845,0.023343448,0,0,0,0
1565340111700180000,0.815571845,0.023343448,0,0,0,0
1565340111719970000,0.815571845,0.023343448,0,0,0,0
1565340111863100000,0.815571845,0.023343448,0,0,0,0
1565340111972760000,0.815571845,0.023343448,0,0,0,0
1565340112023600000,0.815571845,0.023343448,0,0,0,0
1565340112128850000,0.815571845,0.023343448,0,0,0,0
1565340112232860000,0.815571845,0.034201611,0,0,0,-0.087646753
1565340112336830000,0.815571845,0.023343448,0,0,0,-0.20159322
1565340112446640000,0.815571845,0.045059778,0,0,0,0
1565340112496970000,0.815571845,0.045059778,0,0,0,0
1565340112604600000,0.815571845,0.055917941,0,0,0,0
1565340112654960000,0.815571845,0.055917941,0,0,0,0
1565340112760520000,0.815571845,0.055917941,0,0,0,0
1565340112881150000,0.815571845,0.055917941,0,0,0,0
1565340113009630000,0.815571845,0.055917941,0,0,0,0.17986083
1565340113111260000,0.815571845,0.055917941,0,0,0,0.35892418
1565340113221080000,0.815571845,0.055917941,0,0,0,0
1565340113270960000,0.815571845,0.055917941,0,0,0,0
1565340113376920000,0.815571845,0.055917941,0,0,0,0
1565340113480820000,0.815571845,0.045059778,0,0,0,0.022513825
1565340113585180000,0.815571845,0.055917941,0,0,0,0.342652977
1565340113689000000,0.815571845,0.055917941,0,0,0,0.228706509
1565340113792770000,0.815571845,0.055917941,0,0,0,0
1565340113912650000,0.815571845,0.055917941,0,0,0,0
1565340114016510000,0.815571845,0.055917941,0,0,0,0
1565340114066580000,0.815571845,0.055917941,0,0,0,0
1565340114117940000,0.815571845,0.055917941,0,0,0,0
1565340114167090000,0.815571845,0.055917941,0,0,0,0
1565340114217390000,0.815571845,0.055917941,0,0,0,0
1565340114332510000,0.522562027,0,0,0,0,0
1565340114437060000,0,0,0,0,0,0
1565340114486850000,0,0,0,0,0,0
1565340114537980000,0,0,0,0,0,0
1565340114647560000,0,0,0,0,0,0.114760034
1565340114769000000,0,0,0,0,0,0.212419271
1565340114872950000,0,0,0,0,0,0.407769859
1565340114976980000,0,0,0,0,0,0.413182884
1565340115106790000,0,0,0,0,0,0.413182884
1565340115212810000,0,0,0,0,0,0.407769859
1565340115341190000,0,0,0,0,0,0.445741296
1565340115445140000,0,0,0,0,0,0.44032827
1565340115549080000,0.012485282,0,0,0,0,0
1565340115657600000,0.207835868,0,0,0,0,0
1565340115788790000,0.40318644,0,0,0,0,0
1565340115904640000,0.468303323,0,0,0,0,0
1565340116012860000,0.468303323,0,0,0,0,0
1565340116116870000,0.479129344,0,0,0,0,0
1565340116220980000,0.479129344,0,0,0,0,0.120173059
1565340116335710000,0.468303323,0,0,0,0,0.250406772
1565340116438100000,0.468303323,0,0,0,0,0.299236387
1565340116549640000,0.479129344,0,0,0,0,0.255835861
1565340116653660000,0.479129344,0,0,0,0,0.087630689
1565340116777410000,0.468303323,0,0,0,0,0.304665476
1565340116885200000,0.468303323,0,0,0,0,0.331794828
1565340116996640000,0.468303323,0,0,0,0,0.158160567
1565340117104750000,0.468303323,0,0,0,0,0.071343444
1565340117150790000,0.468303323,0,0,0,0,0.071343444
1565340117260740000,0.468303323,0,0,0,0,0.244977698
1565340117364450000,0.468303323,0,0,0,0,0.293823361
1565340117492420000,0.468303323,0,0,0,0,0
1565340117617360000,0.468303323,0,0,0,0,0
1565340117744960000,0.457445145,0,0,0,0,-0.109347016
1565340117870900000,0.457445145,0,0,0,0,-0.30468154
1565340117953130000,0.457445145,0,0,0,0,-0.320968777
1565340118060970000,0.457445145,0,0,0,0,-0.348098129
1565340118208560000,0.457445145,0,0,0,0,0
1565340118258820000,0.457445145,0,0,0,0,0
1565340118333730000,0.457445145,0,0,0,0,0
1565340118359300000,0.457445145,0,0,0,0,0
1565340118409430000,0.457445145,0,0,0,0,0
1565340118529160000,0.468303323,0,0,0,0,-0.364369333
1565340118633300000,0.457445145,0,0,0,0,-0.413198948
1565340118742270000,0.457445145,0,0,0,0,0
1565340118791530000,0.457445145,0,0,0,0,0
1565340118844980000,0.457445145,0,0,0,0,0
1565340118893810000,0.457445145,0,0,0,0,0
1565340118942000000,0.457445145,0,0,0,0,0
1565340118992330000,0.457445145,0,0,0,0,0
1565340119092940000,0.457445145,0,0,0,0,0
1565340119143250000,0.457445145,0,0,0,0,0
1565340119192950000,0.457445145,0,0,0,0,0
1565340119303140000,0.457445145,0,0,0,0,0
1565340119350800000,0.457445145,0,0,0,0,0
1565340119492800000,0.479129344,0,0,0,0,0
1565340119542990000,0.479129344,0,0,0,0,0
1565340119593220000,0.479129344,0,0,0,0,0
1565340119729870000,0.511703849,0,0,0,0,0
1565340119834300000,0.511703849,0,0,0,0,0
1565340119944630000,0.576820731,0,0,0,0,0
1565340120085200000,0.576820731,0,0,0,0,0.049643174
1565340120188990000,0.576820731,0,0,0,0,0.169018731
1565340120297090000,0.576820731,0,0,0,0,0.250406772
1565340120412930000,0.576820731,0,0,0,0,0.266677976
1565340120524800000,0.576820731,0,0,0,0,0.239548609
1565340120633640000,0.576820731,0,0,0,0,0
1565340120686950000,0.576820731,0,0,0,0,0
1565340120793040000,0.565962553,0,0,0,0,0.141889378
1565340120897380000,0.576820731,0,0,0,0,0.304665476
1565340121027680000,0.576820731,0,0,0,0,0.315523654
1565340121129470000,0.576820731,0,0,0,0,0.342652977
1565340121233080000,0.565962553,0,0,0,0,0.266677976
1565340121337540000,0.576820731,0,0,0,0,0
1565340121444690000,0.576820731,0,0,0,0,0
1565340121495130000,0.576820731,0,0,0,0,0
1565340121545500000,0.576820731,0,0,0,0,0
1565340121699400000,0.576820731,0,0,0,0,0.169018731
1565340121819160000,0.576820731,0,0,0,0,0.239548609
1565340121901270000,0.565962553,0,0,0,0,0.250406772
1565340122001180000,0.576820731,0,0,0,0,0.277536124
1565340122113380000,0.576820731,0,0,0,0,0.277536124
1565340122256880000,0.576820731,0,0,0,0,0.277536124
1565340122369360000,0.565962553,0,0,0,0,0.282965213
1565340122475610000,0.576820731,0,0,0,0,0
1565340122523050000,0.576820731,0,0,0,0,0
1565340122573770000,0.576820731,0,0,0,0,0
1565340122623640000,0.576820731,0,0,0,0,0
1565340122753270000,0.565962553,0,0,0,0,0
1565340122803580000,0.565962553,0,0,0,0,0
1565340122853190000,0.565962553,0,0,0,0,0
1565340122990330000,0.576820731,0,0,0,0,0
1565340123039090000,0.576820731,0,0,0,0,0
1565340123089120000,0.576820731,0,0,0,0,0
1565340123216610000,0.565962553,0,0,0,0,0
1565340123336980000,0.565962553,0,0,0,0,0
1565340123456720000,0.565962553,0,0,0,0,0
1565340123560780000,0.576820731,0,0,0,0,0
1565340123673450000,0.565962553,0,0,0,0,0.114760034
1565340123777120000,0.576820731,0,0,0,0,0.125602141
1565340123827190000,0.576820731,0,0,0,0,0.125602141
1565340123928680000,0.576820731,0,0,0,0,0.131031215
1565340124033710000,0.576820731,0,0,0,0,0.17444782
1565340124136950000,0.565962553,0,0,0,0,0.131031215
1565340124241800000,0.565962553,0,0,0,0,0
1565340124291060000,0.565962553,0,0,0,0,0
1565340124392590000,0.565962553,0,0,0,0,0
1565340124501090000,0.576820731,0,0,0,0,0.087630689
1565340124605480000,0.565962553,0,0,0,0,0.169018731
1565340124656230000,0.565962553,0,0,0,0,0.169018731
1565340124769550000,0.565962553,0,0,0,0,0.17444782
1565340124893280000,0.576820731,0,0,0,0,0.310094565
1565340125004760000,0.576820731,0,0,0,0,0.331794828
1565340125125110000,0.565962553,0,0,0,0,0.055072255
1565340125229020000,0.565962553,0,0,0,0,0
1565340125279360000,0.565962553,0,0,0,0,0
1565340125413640000,0.576820731,0,0,0,0,0
1565340125464480000,0.576820731,0,0,0,0,0
1565340125565930000,0.565962553,0,0,0,0,0
1565340125695470000,0.576820731,0,0,0,0,0.103901871
1565340125788780000,0.565962553,0,0,0,0,0.244977698
1565340125892970000,0.576820731,0,0,0,0,0.26126495
1565340126015390000,0.576820731,0,0,0,0,0.250406772
1565340126108350000,0.565962553,0,0,0,0,0
1565340126155720000,0.565962553,0,0,0,0,0
1565340126206820000,0.565962553,0,0,0,0,0
1565340126258710000,0.565962553,0,0,0,0,0
1565340126396860000,0.576820731,0,0,0,0,0
1565340126529080000,0.576820731,0,0,0,0,0.011655661
1565340126641430000,0.565962553,0,0,0,0,0.098472789
1565340126748900000,0.565962553,0,0,0,0,0.304665476
1565340126841930000,0.576820731,0,0,0,0,0.266677976
1565340126945570000,0.576820731,0,0,0,0,0
1565340126995520000,0.576820731,0,0,0,0,0
1565340127145320000,0.565962553,0,0,0,0,0
1565340127194960000,0.565962553,0,0,0,0,0
1565340127245210000,0.565962553,0,0,0,0,0
1565340127389260000,0.576820731,0,0,0,0,0.006226579
1565340127493270000,0.565962553,0,0,0,0,0.103901871
1565340127601590000,0.576820731,0,0,0,0,0.239548609
1565340127709350000,0.565962553,0,0,0,0,0.272107035
1565340127810950000,0.565962553,0,0,0,0,0
1565340127937250000,0.576820731,0,0,0,0,0
1565340128025510000,0.565962553,0,0,0,0,0
1565340128075170000,0.565962553,0,0,0,0,0
1565340128125520000,0.565962553,0,0,0,0,0
1565340128257520000,0.565962553,0,0,0,0,0.152731493
1565340128361440000,0.576820731,0,0,0,0,0.185289919
1565340128484850000,0.576820731,0,0,0,0,0.163589656
1565340128597210000,0.565962553,0,0,0,0,0
1565340128701140000,0.565962553,0,0,0,0,0
1565340128820980000,0.576820731,0,0,0,0,0
1565340128871480000,0.576820731,0,0,0,0,0
1565340128923290000,0.576820731,0,0,0,0,0
1565340128973450000,0.576820731,0,0,0,0,0
1565340129088690000,0.565962553,0,0,0,0,0
1565340129139930000,0.565962553,0,0,0,0,0
1565340129189930000,0.565962553,0,0,0,0,0
1565340129240290000,0.565962553,0,0,0,0,0
1565340129361950000,0.576820731,0,0,0,0,0
1565340129411810000,0.576820731,0,0,0,0,0
1565340129521720000,0.576820731,0,0,0,0,0.141889378
1565340129625410000,0.576820731,0,0,0,0,0.158160567
1565340129729410000,0.565962553,0,0,0,0,0.190718994
1565340129847610000,0.565962553,0,0,0,0,0.207006246
1565340129937260000,0.576820731,0,0,0,0,0.207006246
1565340130057520000,0.565962553,0,0,0,0,0.212419271
1565340130190090000,0.565962553,0,0,0,0,0.207006246
1565340130313220000,0.576820731,0,0,0,0,0.212419271
1565340130458390000,0.576820731,0,0,0,0,0.282965213
1565340130563810000,0.565962553,0,0,0,0,0.299236387
1565340130610850000,0.565962553,0,0,0,0,0.299236387
1565340130661890000,0.565962553,0,0,0,0,0.299236387
1565340130784430000,0.576820731,0,0,0,0,0.293823361
1565340130889660000,0.565962553,0,0,0,0,0.293823361
1565340131033800000,0.565962553,0,0,0,0,0.272107035
1565340131137430000,0.565962553,0,0,0,0,0
1565340131187840000,0.565962553,0,0,0,0,0
1565340131333450000,0.576820731,0,0,0,0,0
1565340131383950000,0.576820731,0,0,0,0,0
1565340131485170000,0.576820731,0,0,0,0,0.17444782
1565340131589500000,0.576820731,0,0,0,0,0.310094565
1565340131701630000,0.565962553,0,0,0,0,0.310094565
1565340131817570000,0.576820731,0,0,0,0,0.304665476
1565340131937500000,0.565962553,0,0,0,0,0.234135598
1565340132043340000,0.565962553,0,0,0,0,0.185289919
1565340132157170000,0.565962553,0,0,0,0,0.185289919
1565340132261760000,0.565962553,0,0,0,0,0
1565340132312000000,0.565962553,0,0,0,0,0
1565340132436850000,0.576820731,0,0,0,0,0
1565340132486810000,0.576820731,0,0,0,0,0
1565340132537430000,0.576820731,0,0,0,0,0
1565340132642450000,0.565962553,0,0,0,0,0
1565340132744940000,0.576820731,0,0,0,0,0
1565340132877130000,0.565962553,0,0,0,0,0
1565340132981810000,0.576820731,0,0,0,0,0
1565340133084990000,0.565962553,0,0,0,0,0
1565340133197020000,0.565962553,0,0,0,0,0
1565340133248290000,0.565962553,0,0,0,0,0
1565340133298020000,0.565962553,0,0,0,0,0
1565340133348360000,0.565962553,0,0,0,0,0
1565340133398320000,0.565962553,0,0,0,0,0
1565340133493780000,0.565962553,0,0,0,0,0
1565340133498750000,0.565962553,0,0,0,0,0
